AMBAinScope,ResourceType,FriendlyName
no,Microsoft.Sql/locations/databaseOperationResults,null
no,Microsoft.Sql/locations/databaseEncryptionProtectorRevalidateAzureAsyncOperation,null
no,Microsoft.Sql/locations/databaseEncryptionProtectorRevalidateOperationResults,null
no,Microsoft.Sql/locations/databaseEncryptionProtectorRevertAzureAsyncOperation,null
no,Microsoft.Sql/locations/databaseEncryptionProtectorRevertOperationResults,null
no,Microsoft.Sql/locations/serverKeyAzureAsyncOperation,null
no,Microsoft.Sql/locations/serverKeyOperationResults,null
no,Microsoft.Sql/servers/keys,null
no,Microsoft.Sql/servers/encryptionProtector,null
no,Microsoft.Sql/locations/encryptionProtectorOperationResults,null
no,Microsoft.Sql/locations/encryptionProtectorAzureAsyncOperation,null
no,Microsoft.Sql/locations/externalPolicyBasedAuthorizationsAzureAsycOperation,null
no,Microsoft.Sql/locations/externalPolicyBasedAuthorizationsOperationResults,null
no,Microsoft.Sql/locations/refreshExternalGovernanceStatusOperationResults,null
no,Microsoft.Sql/locations/refreshExternalGovernanceStatusAzureAsyncOperation,null
no,Microsoft.Sql/locations/refreshExternalGovernanceStatusMIOperationResults,null
no,Microsoft.Sql/locations/refreshExternalGovernanceStatusMIAzureAsyncOperation,null
no,Microsoft.Sql/locations/managedInstanceKeyAzureAsyncOperation,null
no,Microsoft.Sql/locations/managedInstanceKeyOperationResults,null
no,Microsoft.Sql/locations/managedInstanceEncryptionProtectorOperationResults,null
no,Microsoft.Sql/locations/managedInstanceEncryptionProtectorAzureAsyncOperation,null
no,Microsoft.Sql/locations/transparentDataEncryptionAzureAsyncOperation,null
no,Microsoft.Sql/locations/transparentDataEncryptionOperationResults,null
no,Microsoft.Sql/locations/managedtransparentDataEncryptionAzureAsyncOperation,null
no,Microsoft.Sql/locations/managedtransparentDataEncryptionOperationResults,null
no,Microsoft.Sql/servers/tdeCertificates,null
no,Microsoft.Sql/locations/tdeCertAzureAsyncOperation,null
no,Microsoft.Sql/locations/tdeCertOperationResults,null
no,Microsoft.Sql/locations/serverAzureAsyncOperation,null
no,Microsoft.Sql/locations/serverOperationResults,null
no,Microsoft.Sql/locations/usages,null
no,Microsoft.Sql/checkNameAvailability,null
yes,Microsoft.Sql/servers,Sqldb
no,Microsoft.Sql/servers/databases,SQL database
no,Microsoft.Sql/servers/serviceObjectives,null
no,Microsoft.Sql/servers/communicationLinks,null
no,Microsoft.Sql/servers/administrators,null
no,Microsoft.Sql/servers/administratorOperationResults,null
no,Microsoft.Sql/locations/serverAdministratorAzureAsyncOperation,null
no,Microsoft.Sql/locations/serverAdministratorOperationResults,null
no,Microsoft.Sql/servers/restorableDroppedDatabases,null
no,Microsoft.Sql/servers/recoverableDatabases,null
no,Microsoft.Sql/servers/databases/geoBackupPolicies,null
no,Microsoft.Sql/servers/import,null
no,Microsoft.Sql/servers/importExportOperationResults,null
no,Microsoft.Sql/servers/operationResults,null
no,Microsoft.Sql/servers/databases/backupLongTermRetentionPolicies,null
no,Microsoft.Sql/servers/databases/backupShortTermRetentionPolicies,null
no,Microsoft.Sql/servers/databaseSecurityPolicies,null
no,Microsoft.Sql/servers/automaticTuning,null
no,Microsoft.Sql/servers/databases/automaticTuning,null
no,Microsoft.Sql/servers/databases/transparentDataEncryption,null
no,Microsoft.Sql/servers/databases/ledgerDigestUploads,null
no,Microsoft.Sql/locations/ledgerDigestUploadsAzureAsyncOperation,null
no,Microsoft.Sql/locations/ledgerDigestUploadsOperationResults,null
no,Microsoft.Sql/servers/recommendedElasticPools,null
no,Microsoft.Sql/servers/databases/dataMaskingPolicies,null
no,Microsoft.Sql/servers/databases/dataMaskingPolicies/rules,null
no,Microsoft.Sql/servers/databases/securityAlertPolicies,null
no,Microsoft.Sql/servers/securityAlertPolicies,null
no,Microsoft.Sql/servers/databases/advancedThreatProtectionSettings,null
no,Microsoft.Sql/servers/advancedThreatProtectionSettings,null
no,Microsoft.Sql/managedInstances/databases/advancedThreatProtectionSettings,null
no,Microsoft.Sql/managedInstances/advancedThreatProtectionSettings,null
no,Microsoft.Sql/servers/databases/auditingSettings,null
no,Microsoft.Sql/servers/auditingSettings,null
no,Microsoft.Sql/servers/extendedAuditingSettings,null
no,Microsoft.Sql/servers/devOpsAuditingSettings,null
no,Microsoft.Sql/locations/auditingSettingsAzureAsyncOperation,null
no,Microsoft.Sql/locations/auditingSettingsOperationResults,null
no,Microsoft.Sql/locations/extendedAuditingSettingsAzureAsyncOperation,null
no,Microsoft.Sql/locations/extendedAuditingSettingsOperationResults,null
no,Microsoft.Sql/locations/devOpsAuditingSettingsOperationResults,null
no,Microsoft.Sql/locations/devOpsAuditingSettingsAzureAsyncOperation,null
no,Microsoft.Sql/locations/elasticPoolAzureAsyncOperation,null
no,Microsoft.Sql/locations/elasticPoolOperationResults,null
no,Microsoft.Sql/servers/elasticpools,null
no,Microsoft.Sql/servers/jobAccounts,null
no,Microsoft.Sql/servers/jobAgents,null
no,Microsoft.Sql/locations/jobAgentOperationResults,null
no,Microsoft.Sql/locations/jobAgentAzureAsyncOperation,null
no,Microsoft.Sql/servers/jobAgents/privateEndpoints,null
no,Microsoft.Sql/locations/jobAgentPrivateEndpointOperationResults,null
no,Microsoft.Sql/locations/jobAgentPrivateEndpointAzureAsyncOperation,null
no,Microsoft.Sql/servers/jobAgents/jobs,null
no,Microsoft.Sql/servers/jobAgents/jobs/steps,null
no,Microsoft.Sql/servers/jobAgents/jobs/executions,null
no,Microsoft.Sql/servers/disasterRecoveryConfiguration,null
no,Microsoft.Sql/servers/dnsAliases,null
no,Microsoft.Sql/locations/dnsAliasAsyncOperation,null
no,Microsoft.Sql/locations/dnsAliasOperationResults,null
no,Microsoft.Sql/servers/failoverGroups,null
no,Microsoft.Sql/locations/failoverGroupAzureAsyncOperation,null
no,Microsoft.Sql/locations/failoverGroupOperationResults,null
no,Microsoft.Sql/locations/firewallRulesOperationResults,null
no,Microsoft.Sql/locations/firewallRulesAzureAsyncOperation,null
no,Microsoft.Sql/locations/ipv6FirewallRulesOperationResults,null
no,Microsoft.Sql/locations/ipv6FirewallRulesAzureAsyncOperation,null
no,Microsoft.Sql/locations/deleteVirtualNetworkOrSubnets,null
no,Microsoft.Sql/servers/virtualNetworkRules,null
no,Microsoft.Sql/locations/virtualNetworkRulesOperationResults,null
no,Microsoft.Sql/locations/virtualNetworkRulesAzureAsyncOperation,null
no,Microsoft.Sql/locations/deleteVirtualNetworkOrSubnetsOperationResults,null
no,Microsoft.Sql/locations/deleteVirtualNetworkOrSubnetsAzureAsyncOperation,null
no,Microsoft.Sql/locations/databaseRestoreAzureAsyncOperation,null
no,Microsoft.Sql/servers/usages,null
no,Microsoft.Sql/servers/databases/metricDefinitions,null
no,Microsoft.Sql/servers/databases/metrics,null
